INDEX,METRIC,NOISE TYPE,NOISY,GAUSS FILTER,NLM FILTER
1,GAUSSIAN,PSNR,19.59390416438112,23.38126836400129,23.714477729767438
1,GAUSSIAN,MSE,713.9864082336426,298.50631586710614,276.46018091837567
1,S&P,PSNR,16.534814769078846,24.638359687034345,31.062028918409275
1,S&P,MSE,1444.1053733825684,223.48294830322266,50.91871897379557
2,GAUSSIAN,PSNR,19.696961385666224,23.454388694131527,22.751079598941008
2,GAUSSIAN,MSE,697.2430954587581,293.52256333024405,345.1218064565956
2,S&P,PSNR,16.597249151885734,24.686640472912487,26.15709218375041
2,S&P,MSE,1423.493359978375,221.01223354958296,157.5328544949027
3,GAUSSIAN,PSNR,19.630138721311667,23.31446854452112,22.58365162624504
3,GAUSSIAN,MSE,708.0541763305664,303.1332015991211,358.68663787841797
3,S&P,PSNR,16.62152910447078,24.605617065501207,25.777928768208152
3,S&P,MSE,1415.5572891235352,225.17421340942383,171.90459442138672
4,GAUSSIAN,PSNR,19.73211985605114,23.452822705782552,23.36637146327661
4,GAUSSIAN,MSE,691.6213245257453,293.62842140921407,299.5319918699187
4,S&P,PSNR,16.66167279289309,24.740638815585278,28.15962854777268
4,S&P,MSE,1402.5329776422764,218.28127371273712,99.33847899728997
5,GAUSSIAN,PSNR,19.736583104712984,23.50524633554339,23.92001142777124
5,GAUSSIAN,MSE,690.9109097198382,290.1053428940004,263.68123133901355
5,S&P,PSNR,15.269802664279768,23.057969424061177,29.11564885147486
5,S&P,MSE,1932.4136405959032,321.57584423082926,79.71048942500754
6,GAUSSIAN,PSNR,19.59877191018027,23.342387417659868,23.10690226506452
6,GAUSSIAN,MSE,713.1865921020508,301.1907424926758,317.9729194641113
6,S&P,PSNR,17.052026443188723,25.263734501328443,28.95352381379002
6,S&P,MSE,1281.969570159912,193.51155853271484,82.74237442016602
7,GAUSSIAN,PSNR,19.634817669090005,23.398676374498983,23.00482141983579
7,GAUSSIAN,MSE,707.2917525231287,297.3121951219512,325.53539739276704
7,S&P,PSNR,15.603047058982735,23.417831200378806,26.262014987232316
7,S&P,MSE,1789.6811133305298,296.0037689234651,153.77256623212784
8,GAUSSIAN,PSNR,19.514954638038354,23.320444656799925,24.00974322038718
8,GAUSSIAN,MSE,727.0845177777778,302.71636180555555,258.2890761111111
8,S&P,PSNR,15.270089047232084,23.063548400012714,30.435756354015485
8,S&P,MSE,1932.286217361111,321.1630109722222,58.81725138888889
9,GAUSSIAN,PSNR,19.544470416244504,23.326215380155304,23.597168877598055
9,GAUSSIAN,MSE,722.1598167419434,302.31439208984375,284.0295155843099
9,S&P,PSNR,16.137927768581225,24.114017081322228,30.113227337203398
9,S&P,MSE,1582.295467376709,252.16142654418945,63.35160573323568
10,GAUSSIAN,PSNR,19.511128174356486,23.27364084558285,22.42612299443931
10,GAUSSIAN,MSE,727.7254166666667,305.99637125651043,371.9358675130208
10,S&P,PSNR,16.821544301787565,24.92699193741185,25.57862220590333
10,S&P,MSE,1351.8419856770834,209.11306477864582,179.97746907552084
11,GAUSSIAN,PSNR,19.694000404174545,23.44137333583838,23.578746133410533
11,GAUSSIAN,MSE,697.7186317443848,294.4035396575928,285.2369260787964
11,S&P,PSNR,17.060630834857367,25.32737756373219,30.524413636607946
11,S&P,MSE,1279.4322023391724,190.69644832611084,57.62872314453125
